trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,sharpe,section
現貨開盤,8,20,5,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
現貨開盤,8,30,5,33,75.8,24.2,0.0,75.8,-1720,-52.0,-34.0,-5.0,09:00_filter
現貨開盤,8,0,10,33,97.0,0.0,3.0,97.0,-920,-28.0,-220.0,-1.13,09:00_filter
現貨開盤,8,10,10,33,75.8,24.2,0.0,75.8,-120,-4.0,-14.0,-0.74,09:00_filter
現貨開盤,8,15,10,33,75.8,24.2,0.0,75.8,-520,-16.0,-19.0,-2.5,09:00_filter
現貨開盤,8,20,10,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
現貨開盤,8,30,10,33,75.8,24.2,0.0,75.8,-1720,-52.0,-34.0,-5.0,09:00_filter
現貨開盤,8,0,15,33,97.0,0.0,3.0,97.0,60,2.0,-122.0,0.13,09:00_filter
現貨開盤,8,10,15,33,75.8,24.2,0.0,75.8,-120,-4.0,-14.0,-0.74,09:00_filter
現貨開盤,8,15,15,33,75.8,24.2,0.0,75.8,-520,-16.0,-19.0,-2.5,09:00_filter
現貨開盤,8,20,15,33,75.8,24.2,0.0,75.8,-920,-28.0,-24.0,-3.63,09:00_filter
現貨開盤,8,30,15,33,75.8,24.2,0.0,75.8,-1720,-52.0,-34.0,-5.0,09:00_filter
現貨開盤,10,0,1,33,66.7,0.0,33.3,66.7,-1420,-43.0,-24.9,-3.69,09:00_filter
現貨開盤,10,10,1,33,66.7,30.3,3.0,66.7,-80,-2.0,-12.7,-0.42,09:00_filter
現貨開盤,10,15,1,33,66.7,30.3,3.0,66.7,-580,-18.0,-17.3,-2.41,09:00_filter
現貨開盤,10,20,1,33,66.7,30.3,3.0,66.7,-1080,-33.0,-21.8,-3.73,09:00_filter
現貨開盤,10,30,1,33,66.7,15.2,18.2,66.7,-1120,-34.0,-22.2,-3.48,09:00_filter
現貨開盤,10,0,2,33,84.8,0.0,15.2,84.8,-1360,-41.0,-60.8,-2.48,09:00_filter
現貨開盤,10,10,2,33,69.7,30.3,0.0,69.7,-20,-1.0,-14.0,-0.1,09:00_filter
現貨開盤,10,15,2,33,69.7,30.3,0.0,69.7,-520,-16.0,-19.0,-2.14,09:00_filter
現貨開盤,10,20,2,33,69.7,30.3,0.0,69.7,-1020,-31.0,-24.0,-3.5,09:00_filter
現貨開盤,10,30,2,33,75.8,24.2,0.0,75.8,-1220,-37.0,-34.0,-3.37,09:00_filter
現貨開盤,10,0,3,33,87.9,0.0,12.1,87.9,-730,-22.0,-61.8,-1.34,09:00_filter
現貨開盤,10,10,3,33,69.7,30.3,0.0,69.7,-20,-1.0,-14.0,-0.1,09:00_filter
現貨開盤,10,15,3,33,69.7,30.3,0.0,69.7,-520,-16.0,-19.0,-2.14,09:00_filter
現貨開盤,10,20,3,33,69.7,30.3,0.0,69.7,-1020,-31.0,-24.0,-3.5,09:00_filter
現貨開盤,10,30,3,33,75.8,24.2,0.0,75.8,-1220,-37.0,-34.0,-3.37,09:00_filter
現貨開盤,10,0,5,33,97.0,0.0,3.0,97.0,230,7.0,-169.0,0.36,09:00_filter
現貨開盤,10,10,5,33,69.7,30.3,0.0,69.7,-20,-1.0,-14.0,-0.1,09:00_filter
現貨開盤,10,15,5,33,69.7,30.3,0.0,69.7,-520,-16.0,-19.0,-2.14,09:00_filter
現貨開盤,10,20,5,33,69.7,30.3,0.0,69.7,-1020,-31.0,-24.0,-3.5,09:00_filter
現貨開盤,10,30,5,33,75.8,24.2,0.0,75.8,-1220,-37.0,-34.0,-3.37,09:00_filter
現貨開盤,10,0,10,33,97.0,0.0,3.0,97.0,-280,-8.0,-220.0,-0.34,09:00_filter
現貨開盤,10,10,10,33,69.7,30.3,0.0,69.7,-20,-1.0,-14.0,-0.1,09:00_filter
現貨開盤,10,15,10,33,69.7,30.3,0.0,69.7,-520,-16.0,-19.0,-2.14,09:00_filter
現貨開盤,10,20,10,33,69.7,30.3,0.0,69.7,-1020,-31.0,-24.0,-3.5,09:00_filter
現貨開盤,10,30,10,33,75.8,24.2,0.0,75.8,-1220,-37.0,-34.0,-3.37,09:00_filter
現貨開盤,10,0,15,33,97.0,0.0,3.0,97.0,700,21.0,-122.0,1.51,09:00_filter
現貨開盤,10,10,15,33,69.7,30.3,0.0,69.7,-20,-1.0,-14.0,-0.1,09:00_filter
現貨開盤,10,15,15,33,69.7,30.3,0.0,69.7,-520,-16.0,-19.0,-2.14,09:00_filter
現貨開盤,10,20,15,33,69.7,30.3,0.0,69.7,-1020,-31.0,-24.0,-3.5,09:00_filter
現貨開盤,10,30,15,33,75.8,24.2,0.0,75.8,-1220,-37.0,-34.0,-3.37,09:00_filter
現貨開盤,15,0,1,33,63.6,0.0,36.4,66.7,-360,-11.0,-22.2,-0.85,09:00_filter
現貨開盤,15,10,1,33,63.6,33.3,3.0,63.6,770,23.0,-12.8,3.12,09:00_filter
現貨開盤,15,15,1,33,63.6,30.3,6.1,66.7,480,15.0,-15.2,1.67,09:00_filter
現貨開盤,15,20,1,33,63.6,30.3,6.1,66.7,-20,-1.0,-19.4,-0.06,09:00_filter
現貨開盤,15,30,1,33,63.6,15.2,21.2,66.7,-60,-2.0,-19.8,-0.16,09:00_filter
現貨開盤,15,0,2,33,81.8,0.0,18.2,81.8,-390,-12.0,-56.0,-0.66,09:00_filter
現貨開盤,15,10,2,33,66.7,33.3,0.0,66.7,880,27.0,-14.0,3.54,09:00_filter
現貨開盤,15,15,2,33,69.7,30.3,0.0,69.7,630,19.0,-19.0,2.16,09:00_filter
現貨開盤,15,20,2,33,69.7,30.3,0.0,69.7,130,4.0,-24.0,0.38,09:00_filter
現貨開盤,15,30,2,33,72.7,27.3,0.0,72.7,-420,-13.0,-34.0,-0.99,09:00_filter
