received_at,ticker,target_pos,signal_price,order_action,order_comment,order_contracts,order_id,tv_timestamp,decision,raw_payload
2026-06-29T08:56:11+08:00,MXF1!,0,44853,buy,S_Exit,1,S_Exit,2026-06-29T00:55:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 44853, ""order_id"": ""S_Exit"", ""order_action"": ""buy"", ""order_comment"": ""S_Exit"", ""order_contracts"": 1, ""timestamp"": ""2026-06-29T00:55:00Z""}"
2026-06-29T11:45:05+08:00,MXF1!,-1,45063,sell,S_Cmd,1,Short_Cmd,2026-06-29T03:45:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": -1, ""signal_price"": 45063, ""order_id"": ""Short_Cmd"", ""order_action"": ""sell"", ""order_comment"": ""S_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-29T03:45:00Z""}"
2026-06-29T11:50:03+08:00,MXF1!,0,45176,buy,Trend Rev,1,Close position order,2026-06-29T03:50:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 45176, ""order_id"": ""Close position order"", ""order_action"": ""buy"", ""order_comment"": ""Trend Rev"", ""order_contracts"": 1, ""timestamp"": ""2026-06-29T03:50:00Z""}"
2026-06-29T21:45:14+08:00,MXF1!,1,45950,buy,L_Cmd,1,Long_Cmd,2026-06-29T13:45:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 1, ""signal_price"": 45950, ""order_id"": ""Long_Cmd"", ""order_action"": ""buy"", ""order_comment"": ""L_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-29T13:45:00Z""}"
2026-06-29T21:56:27+08:00,MXF1!,0,45708,sell,L_Exit,1,L_Exit,2026-06-29T13:55:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 45708, ""order_id"": ""L_Exit"", ""order_action"": ""sell"", ""order_comment"": ""L_Exit"", ""order_contracts"": 1, ""timestamp"": ""2026-06-29T13:55:00Z""}"
2026-06-30T00:15:11+08:00,MXF1!,1,46214,buy,L_Cmd,1,Long_Cmd,2026-06-29T16:15:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 1, ""signal_price"": 46214, ""order_id"": ""Long_Cmd"", ""order_action"": ""buy"", ""order_comment"": ""L_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-29T16:15:00Z""}"
2026-06-30T01:00:09+08:00,MXF1!,2,46366,buy,L_Add,1,Long_Add,2026-06-29T17:00:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 2, ""signal_price"": 46366, ""order_id"": ""Long_Add"", ""order_action"": ""buy"", ""order_comment"": ""L_Add"", ""order_contracts"": 1, ""timestamp"": ""2026-06-29T17:00:00Z""}"
2026-06-30T08:45:13+08:00,MXF1!,1,45908,sell,L_Exit_Add,1,L_Exit_Add,2026-06-30T00:45:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 1, ""signal_price"": 45908, ""order_id"": ""L_Exit_Add"", ""order_action"": ""sell"", ""order_comment"": ""L_Exit_Add"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T00:45:00Z""}"
2026-06-30T08:50:03+08:00,MXF1!,0,46125,sell,L_Cmd_Fast,1,Close entry(s) order Long_Cmd,2026-06-30T00:50:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 46125, ""order_id"": ""Close entry(s) order Long_Cmd"", ""order_action"": ""sell"", ""order_comment"": ""L_Cmd_Fast"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T00:50:00Z""}"
2026-06-30T09:20:04+08:00,MXF1!,1,46542,buy,L_Cmd,1,Long_Cmd,2026-06-30T01:20:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 1, ""signal_price"": 46542, ""order_id"": ""Long_Cmd"", ""order_action"": ""buy"", ""order_comment"": ""L_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T01:20:00Z""}"
2026-06-30T10:15:03+08:00,MXF1!,0,46343,sell,L_Cmd_Fast,1,Close entry(s) order Long_Cmd,2026-06-30T02:15:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 0, ""signal_price"": 46343, ""order_id"": ""Close entry(s) order Long_Cmd"", ""order_action"": ""sell"", ""order_comment"": ""L_Cmd_Fast"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T02:15:00Z""}"
2026-06-30T21:55:10+08:00,MXF1!,1,47024,buy,L_Cmd,1,Long_Cmd,2026-06-30T13:55:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 1, ""signal_price"": 47024, ""order_id"": ""Long_Cmd"", ""order_action"": ""buy"", ""order_comment"": ""L_Cmd"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T13:55:00Z""}"
2026-06-30T22:05:06+08:00,MXF1!,2,47180,buy,L_Add,1,Long_Add,2026-06-30T14:05:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 2, ""signal_price"": 47180, ""order_id"": ""Long_Add"", ""order_action"": ""buy"", ""order_comment"": ""L_Add"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T14:05:00Z""}"
2026-06-30T22:20:06+08:00,MXF1!,3,47259,buy,L_Add,1,Long_Add,2026-06-30T14:20:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 3, ""signal_price"": 47259, ""order_id"": ""Long_Add"", ""order_action"": ""buy"", ""order_comment"": ""L_Add"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T14:20:00Z""}"
2026-06-30T22:25:05+08:00,MXF1!,4,47290,buy,L_G_進,1,Long_G,2026-06-30T14:25:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 4, ""signal_price"": 47290, ""order_id"": ""Long_G"", ""order_action"": ""buy"", ""order_comment"": ""L_G_進"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T14:25:00Z""}"
2026-07-01T00:48:50+08:00,MXF1!,3,47418,sell,L_Exit_G,1,L_Exit_G,2026-06-30T16:45:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 3, ""signal_price"": 47418, ""order_id"": ""L_Exit_G"", ""order_action"": ""sell"", ""order_comment"": ""L_Exit_G"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T16:45:00Z""}"
2026-07-01T00:49:09+08:00,MXF1!,2,47420,sell,L_Exit,1,L_Exit,2026-06-30T16:45:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 2, ""signal_price"": 47420, ""order_id"": ""L_Exit"", ""order_action"": ""sell"", ""order_comment"": ""L_Exit"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T16:45:00Z""}"
2026-07-01T00:50:01+08:00,MXF1!,2,47430,sell,L_Exit_Add,1,L_Exit_Add,2026-06-30T16:50:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 2, ""signal_price"": 47430, ""order_id"": ""L_Exit_Add"", ""order_action"": ""sell"", ""order_comment"": ""L_Exit_Add"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T16:50:00Z""}"
2026-07-01T00:50:04+08:00,MXF1!,3,47430,buy,L_Add,1,Long_Add,2026-06-30T16:50:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 3, ""signal_price"": 47430, ""order_id"": ""Long_Add"", ""order_action"": ""buy"", ""order_comment"": ""L_Add"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T16:50:00Z""}"
2026-07-01T02:21:26+08:00,MXF1!,1,47472,sell,L_Exit_Add,1,L_Exit_Add,2026-06-30T18:20:00Z,EXECUTED:success,"{""ticker"": ""MXF1!"", ""target_pos"": 1, ""signal_price"": 47472, ""order_id"": ""L_Exit_Add"", ""order_action"": ""sell"", ""order_comment"": ""L_Exit_Add"", ""order_contracts"": 1, ""timestamp"": ""2026-06-30T18:20:00Z""}"
