datetime,session,yesterday_balance,today_balance,equity,future_settle_profitloss,future_open_position,available_margin
2026-05-22 18:31:51,手動,125148.0,122176.0,121345.99,-2690.0,-830.0,95045.9
2026-05-23 05:01:28,夜盤,125148.0,123761.0,123761.0,-1000.0,0.0,123761.0
2026-05-23 13:46:23,日盤,118688.0,123761.0,123761.0,5220.0,0.0,123761.0
2026-05-24 05:01:24,夜盤,118688.0,123761.0,123761.0,5220.0,0.0,123761.0
2026-05-24 13:46:06,日盤,118688.0,123761.0,123761.0,5220.0,0.0,123761.0
2026-05-25 05:01:07,夜盤,118688.0,123761.0,123761.0,5220.0,0.0,123761.0
2026-05-25 13:46:16,日盤,118688.0,135600.0,134110.0,17290.0,-1490.0,55210.0
2026-05-26 05:01:18,夜盤,118688.0,142748.0,143898.0,24690.0,1149.99,63848.0
2026-05-26 13:46:24,日盤,135600.0,133193.0,129993.0,-2050.0,-3200.0,77393.0
2026-05-27 05:01:25,夜盤,135600.0,137252.0,141142.0,2030.0,3890.0,109042.0
2026-05-27 13:46:27,日盤,133193.0,137845.0,137845.0,4820.0,0.0,137845.0
2026-05-28 05:01:06,夜盤,133193.0,136943.0,136943.0,3960.0,0.0,136943.0
2026-05-28 13:46:28,日盤,137845.0,133731.0,133731.0,-4030.0,0.0,133731.0
2026-05-29 05:01:01,夜盤,137845.0,133887.0,132827.0,-3790.0,-1060.0,75027.0
2026-05-29 13:46:21,日盤,133731.0,147196.0,146326.0,13780.0,-870.0,117426.0
2026-05-30 05:01:21,夜盤,133731.0,145795.0,145795.0,12400.0,0.0,145795.0
2026-05-30 13:46:24,日盤,147196.0,145795.0,145795.0,-1380.0,0.0,145795.0
2026-05-31 05:01:25,夜盤,147196.0,145795.0,145795.0,-1380.0,0.0,145795.0
2026-05-31 13:46:22,日盤,147196.0,145795.0,145795.0,-1380.0,0.0,145795.0
2026-06-01 05:01:24,夜盤,147196.0,145795.0,145795.0,-1380.0,0.0,145795.0
2026-06-01 13:46:27,日盤,147196.0,153095.0,145995.0,6130.0,-7100.0,88195.0
2026-06-02 05:01:11,夜盤,147196.0,155202.0,154242.0,8510.0,-960.0,125342.0
2026-06-02 13:46:27,日盤,153095.0,150610.0,150590.0,-2170.0,-20.0,121690.0
2026-06-03 05:01:28,夜盤,153095.0,151945.0,151945.0,-730.0,0.0,151945.0
2026-06-03 13:46:06,日盤,150610.0,151945.0,151945.0,1440.0,0.0,151945.0
2026-06-04 05:01:10,夜盤,150610.0,151945.0,151945.0,1440.0,0.0,151945.0
2026-06-04 13:46:14,日盤,151945.0,151945.0,151945.0,0.0,0.0,151945.0
2026-06-05 05:01:15,夜盤,151945.0,152263.0,152263.0,570.0,0.0,152263.0
2026-06-05 13:46:16,日盤,151945.0,156034.0,156554.0,4530.0,520.0,127654.0
2026-06-06 05:01:20,夜盤,151945.0,201373.0,201373.0,50510.0,0.0,201373.0
2026-06-06 13:46:22,日盤,156034.0,201373.0,201373.0,45980.0,0.0,201373.0
2026-06-07 05:01:23,夜盤,156034.0,201373.0,201373.0,45980.0,0.0,201373.0
2026-06-07 13:46:16,日盤,156034.0,201373.0,201373.0,45980.0,0.0,201373.0
2026-06-08 05:01:17,夜盤,156034.0,201373.0,201373.0,45980.0,0.0,201373.0
2026-06-08 13:46:13,日盤,156034.0,200310.0,200930.0,44980.0,620.0,172030.0
2026-06-09 05:01:15,夜盤,156034.0,196867.0,196867.0,41600.0,0.0,196867.0
2026-06-09 13:46:23,日盤,200310.0,195055.0,195055.0,-5150.0,0.0,195055.0
2026-06-10 05:01:14,夜盤,200310.0,211799.0,198299.0,11950.0,-13500.0,169399.0
2026-06-10 13:46:18,日盤,195055.0,204042.0,201942.0,9490.0,-2099.99,144142.0
2026-06-11 05:01:21,夜盤,195055.0,207605.0,208315.0,13200.0,710.0,120905.0
2026-06-11 13:46:04,日盤,204042.0,190221.0,190221.0,-13570.0,0.0,190221.0
2026-06-12 05:01:09,夜盤,204042.0,190200.0,189850.0,-13570.0,-350.0,160950.0
2026-06-12 13:46:05,日盤,190221.0,173163.0,173163.0,-16890.0,0.0,173163.0
2026-06-13 05:01:08,夜盤,190221.0,170841.0,170841.0,-19170.0,0.0,170841.0
2026-06-14 05:01:08,夜盤,173163.0,170841.0,170841.0,-2280.0,0.0,170841.0
2026-06-14 13:46:25,日盤,173163.0,170841.0,170841.0,-2280.0,0.0,170841.0
2026-06-15 05:01:29,夜盤,173163.0,170841.0,170841.0,-2280.0,0.0,170841.0
2026-06-15 13:46:23,日盤,173163.0,161675.0,161675.0,-11030.0,0.0,161675.0
2026-06-16 05:01:29,夜盤,173163.0,161675.0,161675.0,-11030.0,0.0,161675.0
2026-06-16 13:46:29,日盤,161675.0,161675.0,161675.0,0.0,0.0,161675.0
2026-06-17 05:01:16,夜盤,161675.0,160893.0,160893.0,-740.0,0.0,160893.0
2026-06-17 13:46:07,日盤,161675.0,166379.0,169409.0,5040.0,3030.0,53809.0
2026-06-18 05:01:11,夜盤,161675.0,180911.0,180911.0,19950.0,0.0,180911.0
2026-06-19 05:01:07,夜盤,166379.0,181390.0,181400.0,15790.0,10.0,149590.0
2026-06-19 13:46:25,日盤,171905.0,181390.0,173130.0,9760.0,-8260.0,141330.0
2026-06-22 05:01:12,夜盤,171905.0,181390.0,173130.0,9760.0,-8260.0,141330.0
2026-06-22 13:46:27,日盤,171905.0,183901.0,186651.0,12440.0,2750.0,91251.0
2026-06-23 05:01:30,夜盤,171905.0,189771.0,189771.0,18420.0,0.0,189771.0
2026-06-23 13:46:11,日盤,183901.0,192663.0,139163.0,8980.0,-53500.0,-9391.0
2026-07-02 13:46:41,日盤,1356348.0,1352824.0,1155824.0,-3440.0,-197000.0,766100.0
2026-07-03 05:01:12,夜盤,1356348.0,1365026.0,1166026.0,8930.0,-199000.0,776708.0
2026-07-03 13:46:07,日盤,1352824.0,1379528.0,1180978.0,27040.0,-198550.0,725062.0
2026-07-04 05:01:09,夜盤,1352824.0,1374868.0,1173368.0,22590.0,-201500.0,814667.0
2026-07-05 05:01:19,夜盤,1379528.0,1374868.0,1173368.0,-4450.0,-201500.0,814667.0
2026-07-05 13:46:13,日盤,1379528.0,1374868.0,1173368.0,-4450.0,-201500.0,814667.0
2026-07-06 05:01:15,夜盤,1379528.0,1374868.0,1173368.0,-4450.0,-201500.0,814667.0
2026-07-06 13:46:01,日盤,1379528.0,1375805.0,1139435.0,-3450.0,-236370.0,754243.0
2026-07-07 05:01:04,夜盤,1379528.0,1378188.0,1145908.0,-920.0,-232280.0,728960.0
2026-07-07 13:46:11,日盤,1375805.0,1330077.0,1021037.0,-45030.0,-309040.0,671699.0
2026-07-08 05:01:14,夜盤,1375805.0,1337388.0,1025868.0,-37400.0,-311520.0,644898.0
2026-07-08 13:46:13,日盤,1330077.0,1326316.0,1011016.0,-3250.0,-315300.0,686313.0
2026-07-09 05:01:23,夜盤,1330077.0,1350209.0,1046959.0,21100.0,-303250.0,552962.0
2026-07-09 13:46:20,日盤,1326316.0,1381015.0,1109415.0,55750.0,-271600.0,775210.0
2026-07-10 05:01:22,夜盤,1326316.0,1365487.0,1093237.0,40750.0,-272250.0,759162.0
2026-07-10 13:46:09,日盤,1381015.0,1365487.0,1093237.0,-15000.0,-272250.0,759162.0
2026-07-11 05:01:11,夜盤,1381015.0,1365487.0,1093237.0,-15000.0,-272250.0,759162.0
2026-07-11 13:46:17,日盤,1381015.0,1365487.0,1093237.0,-15000.0,-272250.0,759162.0
2026-07-12 05:01:17,夜盤,1381015.0,1365487.0,1093237.0,-15000.0,-272250.0,759162.0
2026-07-12 13:46:01,日盤,1381015.0,1365487.0,1093237.0,-15000.0,-272250.0,759162.0
2026-07-13 05:01:05,夜盤,1381015.0,1365487.0,1093237.0,-15000.0,-272250.0,759162.0
